n_layers, n_units, dropout_rate, learning_rate, accuracy
n_layers: 4, n_units: 256, dropout_rate: 0.3, learning_rate: 0.01, accuracy: 0.7392857074737549
n_layers: 4, n_units: 256, dropout_rate: 0.3, learning_rate: 0.1, accuracy: 0.7377856969833374
n_layers: 4, n_units: 256, dropout_rate: 0.5, learning_rate: 0.001, accuracy: 0.7382143139839172
n_layers: 4, n_units: 256, dropout_rate: 0.5, learning_rate: 0.01, accuracy: 0.7329285740852356
n_layers: 4, n_units: 256, dropout_rate: 0.5, learning_rate: 0.1, accuracy: 0.7369999885559082
n_layers: 4, n_units: 256, dropout_rate: 0.7, learning_rate: 0.001, accuracy: 0.7263571619987488
n_layers: 4, n_units: 256, dropout_rate: 0.7, learning_rate: 0.01, accuracy: 0.7159285545349121
n_layers: 4, n_units: 256, dropout_rate: 0.7, learning_rate: 0.1, accuracy: 0.7338571548461914
Best Accuracy: 0.7415714263916016
Best Parameters: {'n_layers': 4, 'n_units': 64, 'dropout_rate': 0.3, 'learning_rate': 0.01}
